#skipped n median low_quartile hi_quartile mean avg_dev std_dev vari skew kurt conf_lo conf_hi
59000 32 7 1 31.5 33.375 39.6719 58.4575 3417.27 2.23123 4.68289 2.000000 23.000000
60000 32 6.5 2 48 34.1562 40.6719 55.4548 3075.23 1.83181 2.51996 3.000000 18.000000
61000 32 12 1 90.5 39.6875 45.4688 62.9759 3965.96 2.21242 5.51892 2.000000 25.000000
62000 32 8 1 65.5 36.4375 41.9414 58.8206 3459.87 2.23532 5.45456 2.000000 23.000000
63000 32 17 1 64 45.7812 49.7129 73.3009 5373.02 2.40512 6.39549 3.000000 49.000000
64000 32 16 2 80 46.2812 51.2344 70.4736 4966.53 1.8681 2.96623 3.000000 36.000000
65000 32 11 1 75.5 45.125 50.9219 67.142 4508.05 1.75098 2.77188 1.000000 36.000000
66000 32 10 1.5 91 44 48.875 63.747 4063.68 1.80979 3.39945 2.000000 35.000000
67000 32 14 1 97.5 50.7188 57.4258 83.6198 6992.27 2.62218 8.0782 4.000000 30.000000
68000 32 18 0.5 127 61.5625 68.3633 86.4773 7478.32 1.46386 1.37309 5.000000 62.000000
69000 32 19 1 104 53.4375 59.8164 77.1341 5949.67 1.58661 1.83423 3.000000 35.000000
70000 32 15.5 1 107.5 56.3438 59.9512 75.9824 5773.33 1.48553 1.67373 4.000000 76.000000
71000 32 31.5 2 93 60.2188 60.3496 88.5291 7837.4 2.23184 5.20809 4.000000 63.000000
72000 32 23 1.5 86.5 55.5938 56.9297 82.9469 6880.18 2.24609 5.62537 2.000000 61.000000
73000 32 19 0.5 97.5 56.3438 59.2012 83.0762 6901.65 2.05421 4.45853 2.000000 58.000000
74000 32 14 2 110 60.1562 65.7676 84.876 7203.94 1.58334 1.77554 4.000000 65.000000
75000 32 18.5 1.5 111.5 62.9375 67.3555 87.2856 7618.77 1.54716 1.7399 3.000000 71.000000
76000 32 20 1 143 65.75 73.9062 89.1049 7939.68 1.1848 0.129889 1.000000 48.000000
77000 32 24.5 1.5 147.5 67.5312 70.9805 87.7559 7701.1 1.20231 0.295904 3.000000 65.000000
78000 32 26 3 128.5 68.7188 71.0859 90.6515 8217.69 1.4759 1.71177 5.000000 89.000000
79000 32 28.5 2 151 76.75 80.375 97.2211 9451.94 1.18518 0.403999 2.000000 110.000000
